Subject,Sex,Rmapping,CB,RTL,RTR,RTMax,Asynchrony,AccL,AccR,Bacc,Block,Trial, F1,F2,R1,R2,Chord,CResp1,CResp2,RewardType,ChordType,Rewarded,PrevReward,AfterReward,Practiced,PrevAcc,GoodFast,Repeats,Useable,Qchord,QRecall,QRespQ,Composite Awareness
1,2,1,1,2419,40,2419,,1,0,0,1,1,Face2.jpg,Face6.jpg,2,6,26,w,i,W,SC,1,0,0,0,0,0,0,0,,,0,1
1,2,1,1,3579,40,3579,3539,1,0,0,1,2,Face4.jpg,Face6.jpg,4,6,46,r,i,W,SI,1,1,0,0,0,0,0,0,,,0,1
1,2,1,1,2464,2486,2486,22,1,1,1,1,3,Face1.jpg,Face6.jpg,1,6,16,q,i,U,SI,1,1,0,1,0,0,0,0,,,0,1
1,2,1,1,2192,2198,2198,6,1,1,1,1,4,Face1.jpg,Face5.jpg,1,5,15,q,u,R,SC,1,1,0,1,1,0,0,0,,,0,1
1,2,1,1,3328,40,3328,3288,1,0,0,1,5,Face3.jpg,Face5.jpg,3,5,35,e,u,U,SI,1,1,1,1,1,0,0,0,,,0,1
1,2,1,1,3414,40,3414,3374,1,0,0,1,6,Face1.jpg,Face5.jpg,1,5,15,q,u,R,SC,1,1,0,1,0,0,0,0,,,0,1
1,2,1,1,2637,2659,2659,22,1,1,1,1,7,Face4.jpg,Face6.jpg,4,6,46,r,i,W,SI,1,1,1,0,0,0,0,0,,,0,1
1,2,1,1,1229,1220,1229,9,1,1,1,1,8,Face4.jpg,Face6.jpg,4,6,46,r,i,W,SI,1,1,0,0,1,1,1,0,,,0,1
1,2,1,1,3645,40,3645,3605,1,0,0,1,9,Face2.jpg,Face5.jpg,2,5,25,w,u,W,SI,1,1,0,0,1,0,0,0,,,0,1
1,2,1,1,1975,1965,1975,10,1,1,1,1,10,Face4.jpg,Face8.jpg,4,8,48,r,p,U,SC,1,1,0,1,0,1,0,1,,,0,1
1,2,1,1,2711,2717,2717,6,0,1,0,1,11,Face3.jpg,Face7.jpg,3,7,37,e,o,W,SC,1,1,0,0,1,0,0,0,,,0,1
1,2,1,1,1615,1637,1637,22,1,1,1,1,12,Face4.jpg,Face6.jpg,4,6,46,r,i,W,SI,1,1,0,0,0,1,0,1,,,0,1
1,2,1,1,2223,2229,2229,6,1,0,0,1,13,Face3.jpg,Face6.jpg,3,6,36,e,i,R,M,1,1,0,1,1,0,0,0,,,0,1
1,2,1,1,2076,2098,2098,22,0,1,0,1,14,Face3.jpg,Face8.jpg,3,8,38,e,p,W,SI,1,1,1,0,0,0,0,0,,,0,1
